A0 3.33333 50 5
A1 3.33333 50 10
A2 3.33333 40 0
A3 3.33333 40 5
A4 3.33333 40 10
A5 3.33333 40 10
A6 3.33333 40 5
A7 3.33333 40 0
A8 3.33333 50 10
A9 3.33333 50 5
B0 2.5 50 5
B1 2.5 50 10
B2 2.5 40 0
B3 2.5 40 5
B4 2.5 40 10
B5 2.5 40 10
B6 2.5 40 5
B7 2.5 40 0
B8 2.5 50 10
B9 2.5 50 5
C0 2 50 -5
C1 2 50 10
C2 2 40 -5
C3 2 40 5
C4 2 40 15
C5 2 40 15
C6 2 40 5
C7 2 40 -5
C8 2 50 10
C9 2 50 -5
D0 2 50 0
D1 2 50 10
D2 2 40 -5
D3 2 40 5
D4 2 40 15
D5 2 40 15
D6 2 40 5
D7 2 40 -5
D8 2 50 10
D9 2 50 0
E0 2 50 5
E1 2 50 15
E2 2 40 0
E3 2 40 10
E4 2 40 20
E5 2 40 20
E6 2 40 10
E7 2 40 0
E8 2 50 15
E9 2 50 5
F0 2 50 5
F1 2 50 20
F2 2 40 0
F3 2 40 10
F4 2 40 20
F5 2 40 20
F6 2 40 10
F7 2 40 0
F8 2 50 20
F9 2 50 5
G0 1.66667 50 5
G1 1.66667 50 10
G2 1.66667 40 0
G3 1.66667 40 5
G4 1.66667 40 10
G5 1.66667 40 10
G6 1.66667 40 5
G7 1.66667 40 0
G8 1.66667 50 10
G9 1.66667 50 5
H0 1.25 50 5
H1 1.25 50 10
H2 1.25 40 0
H3 1.25 40 5
H4 1.25 40 10
H5 1.25 40 10
H6 1.25 40 5
H7 1.25 40 0
H8 1.25 50 10
H9 1.25 50 5
I0 1 50 5
I1 1 50 10
I2 1 40 0
I3 1 40 5
I4 1 0 0
I5 1 0 0
I6 1 40 5
I7 1 40 0
I8 1 50 10
I9 1 50 5
J0 0.833333 50 5
J1 0.833333 50 10
J2 0.833333 40 0
J3 0.833333 40 5
J4 0.833333 0 0
J5 0.833333 0 0
J6 0.833333 40 5
J7 0.833333 40 0
J8 0.833333 50 10
J9 0.833333 50 5
