A0 2 20 -25
A1 2 40 -25
A2 2 40 49232
A3 2 50 -25
A4 2 26 -25
A5 2 26 5
A6 2 50 5
A7 2 40 49200
A8 2 40 5
A9 2 20 5
B0 2 20 -10
B1 2 40 -10
B2 2 40 49233
B3 2 50 -10
B4 2 26 -10
B5 2 26 10
B6 2 50 10
B7 2 40 49201
B8 2 40 10
B9 2 20 10
C0 2 20 -5
C1 2 40 -5
C2 2 40 49234
C3 2 50 -5
C4 2 26 -5
C5 2 26 15
C6 2 50 15
C7 2 40 49202
C8 2 40 15
C9 2 20 15
D0 2 20 0
D1 2 40 0
D2 2 40 49235
D3 2 50 0
D4 2 26 0
D5 2 26 20
D6 2 50 20
D7 2 40 49203
D8 2 40 20
D9 2 20 20
E0 2 20 0
E1 2 40 0
E2 2 40 49236
E3 2 50 0
E4 2 26 0
E5 2 26 25
E6 2 50 25
E7 2 40 49204
E8 2 40 25
E9 2 20 25
F0 3.33333 20 0
F1 3.33333 40 0
F2 3.33333 40 20
F3 3.33333 50 0
F4 3.33333 26 0
F5 2.5 26 0
F6 2.5 50 0
F7 2.5 40 20
F8 2.5 40 0
F9 2.5 20 0
G0 3.33333 20 0
G1 3.33333 40 0
G2 3.33333 40 20
G3 3.33333 50 0
G4 3.33333 26 0
G5 1.66667 26 0
G6 1.66667 50 0
G7 1.66667 40 20
G8 1.66667 40 0
G9 1.66667 20 0
H0 0.4 20 0
H1 0.4 40 0
H2 0.4 40 150
H3 0.4 26 0
H4 0.4 0 0
H5 0.8 0 0
H6 0.8 26 0
H7 0.8 40 20
H8 0.8 40 0
H9 0.8 20 0
I0 1.25 20 0
I1 1.25 40 0
I2 1.25 40 20
I3 1.25 26 0
I4 1.25 0 0
I5 1 0 0
I6 1 26 0
I7 1 40 20
I8 1 40 0
I9 1 20 0
J0 1.25 20 0
J1 1.25 40 0
J2 1.25 40 20
J3 1.25 26 0
J4 1.25 0 0
J5 1 0 0
J6 1 26 0
J7 1 40 20
J8 1 40 0
J9 1 20 0
